year,month,day,hour,temperature,humidity,wind_speed,solar_radiation,pressure,saison,periode,heat_index,hour_sin,hour_cos,month_sin,month_cos,is_weekend,outage
2024,1,1,0,24.15,19.66,6.35,0.0,97.95,0,0,24.529528716395976,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,1,22.76,21.49,6.66,0.0,97.93,0,0,24.107595175567308,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,2,21.43,23.3,6.86,0.0,97.9,0,0,23.921311055322942,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,3,20.24,24.99,7.06,0.0,97.86,0,0,23.961300583127567,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,4,19.22,26.55,7.29,0.0,97.85,0,0,24.176614839136214,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,5,18.33,28.22,7.48,0.0,97.87,0,0,24.550769010264037,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,6,17.54,29.99,7.51,0.05,97.91,0,1,25.052318285792953,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0,1
2024,1,1,7,16.95,31.88,7.32,0.59,97.97,0,1,25.605143093869813,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,8,17.11,33.19,6.3,1.43,98.04,0,1,25.73821986014543,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,9,19.11,31.98,4.04,2.21,98.1,0,1,24.877130152598674,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0,0
2024,1,1,10,23.37,25.88,2.98,2.79,98.11,0,2,24.605751870794958,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0,1
